# Porter stemmer sample vocabulary: https://tartarus.org/martin/PorterStemmer/voc.txt and output.txt (Last-Modified 2007-09-15)
a	a
accent	accent
acquire	acquir
adornment	adorn
affianced	affianc
airy	airi
aloes	alo
ancestor	ancestor
antipholus	antipholu
appoints	appoint
armagnac	armagnac
aspic	aspic
attend	attend
averring	aver
baiser	baiser
barful	bar
batty	batti
bedfellows	bedfellow
belie	beli
berod	berod
bewhored	bewhor
blades	blade
blots	blot
bombard	bombard
bounty	bounti
break	break
britaine	britain
building	build
butterfly	butterfli
cambrics	cambric
capulet	capulet
cassibelan	cassibelan
cellarage	cellarag
changes	chang
cheaply	cheapli
chipper	chipper
circe	circ
clergyman	clergyman
clutch	clutch
coloquintida	coloquintida
commixtion	commixt
compulsatory	compulsatori
confining	confin
consequences	consequ
contenteth	contenteth
cool	cool
coted	cote
cousins	cousin
creates	creat
crown	crown
currance	curranc
damask	damask
dazzling	dazzl
decrease	decreas
delicate	delic
depraved	deprav
destroyer	destroy
didst	didst
direful	dire
discretions	discret
dispersed	dispers
distinguishes	distinguish
doit	doit
downright	downright
drones	drone
dungeon	dungeon
echapper	echapp
elizabeth	elizabeth
encamped	encamp
engilds	engild
enswathed	enswath
equivocate	equivoc
erstep	erstep
evades	evad
excusez	excusez
expuls	expul
faded	fade
fantastically	fantast
fearest	fearest
festinate	festin
fineless	fineless
flats	flat
fluster	fluster
forc	forc
formed	form
framed	frame
frivolous	frivol
fustian	fustian
gargantua	gargantua
gentlefolks	gentlefolk
glad	glad
goats	goat
governed	govern
greatest	greatest
grubs	grub
hackney	hacknei
haply	hapli
haunts	haunt
heaving	heav
hereof	hereof
hisperia	hisperia
honeysuckles	honeysuckl
household	household
huntsmen	huntsmen
illume	illum
imploring	implor
inclined	inclin
inexorable	inexor
injointed	injoint
instructions	instruct
intolerable	intoler
isles	isl
jewess	jewess
juno	juno
kindly	kindli
labyrinth	labyrinth
lapp	lapp
ld	ld
lending	lend
liegeman	liegeman
lipp	lipp
lolls	loll
lowest	lowest
lysander	lysand
maketh	maketh
mapp	mapp
masques	masqu
mechante	mechant
merciful	merci
mightily	mightili
misbegot	misbegot
mistresses	mistress
monsieur	monsieur
moulten	moulten
murderer	murder
name	name
neglecting	neglect
nine	nine
notch	notch
obeyed	obei
offenders	offend
opposers	oppos
ouches	ouch
overgo	overgo
paddle	paddl
paper	paper
partlet	partlet
pax	pax
penetrate	penetr
perishing	perish
petrarch	petrarch
piercing	pierc
pittikins	pittikin
pledge	pledg
poles	pole
possessed	possess
prains	prain
prepared	prepar
pried	pri
prodigality	prodig
properties	properti
provoke	provok
purging	purg
quarries	quarri
race	race
raptures	raptur
reasonably	reason
recure	recur
reinforcement	reinforc
renounce	renounc
required	requir
retell	retel
rheumy	rheumi
rising	rise
rosalind	rosalind
ruins	ruin
sag	sag
satchel	satchel
scaped	scape
scrap	scrap
securing	secur
sentences	sentenc
shades	shade
shelt	shelt
shovel	shovel
sifted	sift
sinner	sinner
slayeth	slayeth
smelt	smelt
soften	soften
sorriest	sorriest
speaketh	speaketh
splendour	splendour
stabbed	stab
statists	statist
stirrer	stirrer
straps	strap
students	student
sucking	suck
superfluity	superflu
surprised	surpris
swift	swift
takest	takest
taught	taught
tens	ten
thereon	thereon
thrift	thrift
till	till
tomboys	tomboi
toys	toi
tread	tread
triumphantly	triumphantli
tuition	tuition
tybalts	tybalt
unbowed	unbow
underlings	underl
unfolds	unfold
unlesson	unlesson
unpossess	unpossess
unseen	unseen
untoward	untoward
upshot	upshot
valentinus	valentinu
vein	vein
vice	vice
virgo	virgo
vowed	vow
wantons	wanton
waw	waw
well	well
whipster	whipster
willeth	willeth
witless	witless
worldly	worldli
writ	writ
young	young
as	as
is	is
was	wa
ties	ti
cats	cat
feed	feed
agreed	agre
bled	bled
sing	sing
troubled	troubl
tanned	tan
falling	fall
hissing	hiss
failing	fail
happy	happi
sky	sky
rational	ration
vilely	vile
hopeful	hope
goodness	good
allowance	allow
inference	infer
defensible	defens
dependent	depend
adoption	adopt
rate	rate
cease	ceas
controlling	control
roll	roll
sensibly	sensibl
nobly	nobli
university	univers
universe	univers
news	new
walks	walk
walked	walk
walking	walk
pencils	pencil
sees	see
saw	saw
saying	sai
abilities	abil
apology	apolog
abominably	abomin
assembly	assembl
charitably	charit
chopping	chop
clapping	clap
clipping	clip
acquitted	acquit
admitted	admit
allotted	allot
forgiveness	forgiv
abatement	abat
accoutrement	accoutr
achievement	achiev
prizer	prizer
temporizer	tempor
adventurously	adventur
ambitiously	ambiti
amorously	amor
absence	absenc
abstinence	abstin
accidence	accid
